# z, uT, vT, wT

# time = 0.0-1.0 hrs
9.400000000000000000e+02 1.526308816873959867e-07 -1.103852821339586305e-08 -1.028188754672976998e-08
9.800000000000000000e+02 1.832447253340596357e-07 -5.351122412970423165e-09 -6.054513586532970152e-09
1.020000000000000000e+03 1.683935215975987132e-07 -3.523364858732999865e-09 -5.303641236151867945e-09
1.060000000000000000e+03 1.220230832875078277e-07 -2.305884935012465678e-09 -4.554386386784097837e-09
1.100000000000000000e+03 9.033510847156268637e-08 -1.931553562853060240e-09 -2.795873242963562462e-09
1.160000000000000000e+03 6.499886780368541994e-08 1.237044570752565684e-08 -3.837399752983053096e-09
1.240000000000000000e+03 2.441781429059234192e-08 1.977597525441515998e-08 -1.603814874842876804e-09
1.320000000000000000e+03 1.512469734080568905e-08 1.091309442724825598e-08 -1.082678909362879159e-09
1.400000000000000000e+03 1.063214644637998637e-08 8.143180830854048859e-09 -1.070534551092039943e-09
1.480000000000000000e+03 5.888678740754216819e-09 4.451177459693980174e-09 -5.500620695973596823e-10
1.560000000000000000e+03 4.311968480342369437e-09 2.845960543033852287e-09 -3.302085622006570851e-10
1.640000000000000000e+03 3.211539993787131884e-09 1.717032604201669108e-09 -2.841109159574832790e-10
1.720000000000000000e+03 1.757349954948885451e-09 9.343017100071482228e-10 -2.338425961393164630e-10
1.800000000000000000e+03 7.290430905241349403e-10 3.745083560667646831e-10 -1.394021746993461362e-10
1.880000000000000000e+03 5.545833412476460838e-10 1.672830288637774153e-10 -7.497203410936431332e-11
1.960000000000000000e+03 4.528214971778034789e-10 6.413090005611774716e-11 -4.258167786932181540e-11
2.040000000000000000e+03 3.264995207071620736e-10 3.090829609087733688e-11 -3.249948481122337791e-11
2.120000000000000000e+03 1.465998733429368947e-10 8.506710449284728106e-11 -3.827817291090764089e-11
2.200000000000000000e+03 2.886438303126677239e-11 1.105777588053989364e-10 -2.701597139169518909e-11
2.280000000000000000e+03 4.233472362510401114e-11 6.869391968729579342e-11 -1.589222377915394076e-11
2.360000000000000000e+03 5.805490716594022260e-11 3.632028811472650833e-11 -1.234611137955374698e-11
2.440000000000000000e+03 6.172968864563513846e-11 1.902944832413908765e-11 -1.005820877631175448e-11
2.520000000000000000e+03 6.375939812873200835e-11 7.759501070538663991e-12 -7.270599810190067879e-12
2.600000000000000000e+03 8.684706868480517711e-11 -5.373629234210988479e-12 -6.282405485056099228e-12
2.680000000000000000e+03 9.622003837765699975e-11 -5.923618607548692504e-12 -5.612022078400019015e-12
2.760000000000000000e+03 4.641335624565747779e-11 5.137730248682259585e-12 -1.150125492945491579e-11
2.840000000000000000e+03 -6.953971312233601449e-11 1.023686557172342181e-10 3.372818121699626065e-11
2.920000000000000000e+03 -1.341490199631245725e-10 5.727678807721675644e-11 9.358253756878095830e-13

# time = 2.0-3.0 hrs
5.000000000000000000e+00 9.542093108752774770e-05 -5.300389215127897236e-04 -3.299113688591921437e-06
1.500000000000000000e+01 3.272847400272802784e-05 -7.585074224059303906e-04 -3.577071396455214333e-05
2.500000000000000000e+01 1.308535666189310578e-04 -8.788526265726861585e-04 -6.708331451128570259e-05
3.500000000000000000e+01 2.400777385896859378e-04 -1.319530515882777000e-03 -6.291270852108351555e-05
4.500000000000000000e+01 1.739471769076959102e-04 -3.637141448870344525e-03 6.294867984092315135e-06
5.500000000000000000e+01 -1.338684890281053230e-03 -8.898770163205194442e-03 2.902635666187894001e-04
6.500000000000000000e+01 -4.006629327541193220e-03 -1.475794358539600677e-02 2.973979667572908920e-04
7.500000000000000000e+01 -4.206965292665575812e-03 -1.165827479158168707e-02 2.477050056737442173e-04
8.500000000000000000e+01 -2.794883799761090862e-03 -4.629178800181109159e-03 1.812130621265318391e-04
9.500000000000000000e+01 -1.788041422850018001e-03 -1.713289771698512168e-03 1.452005592098027373e-04
1.050000000000000000e+02 -1.446541097835062290e-03 -8.266148131681814830e-04 1.253854478594558400e-04
1.150000000000000000e+02 -1.887621182151052622e-03 -5.347239294960118798e-05 1.817751796407584186e-04
1.250000000000000000e+02 -3.208926678349035763e-03 1.311209528002039255e-03 2.233486765644537159e-04
1.350000000000000000e+02 -3.929403539187767934e-03 2.407742774959240484e-03 2.126746633440867898e-04
1.450000000000000000e+02 -3.100238347575514329e-03 2.458926097491814268e-03 1.971582247857513041e-04
1.550000000000000000e+02 -2.088276092405919743e-03 2.065869964880889288e-03 1.726655009223840450e-04
1.650000000000000000e+02 -1.239840966945170283e-03 1.411273431875460956e-03 1.235753002774182547e-04
1.750000000000000000e+02 -7.450976439056700065e-04 8.990582728773202376e-04 7.912984198773446564e-05
1.850000000000000000e+02 -6.102654227450398467e-04 6.681718047846987992e-04 9.212579721082616506e-05
1.950000000000000000e+02 -4.798657807196660542e-04 5.960980153542064968e-04 1.197751632326420816e-04
2.050000000000000000e+02 -3.721256797521396188e-04 4.547798238670532371e-04 1.215608893215419672e-04
2.150000000000000000e+02 -1.666825171553556226e-04 2.317016120227519051e-04 6.573885675648338507e-05
2.250000000000000000e+02 -7.129876291304338884e-05 8.403473378823274732e-05 -4.556634512069824170e-07
2.350000000000000000e+02 -5.095697345074807431e-05 5.581806282456897229e-05 -1.660512963179098697e-06
2.450000000000000000e+02 -4.694182868986278040e-05 4.911513756059800352e-05 -5.393937023922269674e-07
2.550000000000000000e+02 -4.372553232600268064e-05 4.010797953115715503e-05 -1.819277064400030063e-06
2.650000000000000000e+02 -3.341725387962103639e-05 3.099882478390942730e-05 1.958635471673697240e-07
2.750000000000000000e+02 -2.744425561305586161e-05 1.985974368400715516e-05 -6.584373288040939954e-07
2.850000000000000000e+02 -2.712464594988875526e-05 1.563587008921158534e-05 -1.190141902663305789e-06
2.950000000000000000e+02 -2.028826984023120026e-05 1.000133174141041892e-05 -2.037276088784112997e-07
3.050000000000000000e+02 -7.077733401617461976e-06 -3.397108988142893656e-06 6.168112027069254872e-07
3.150000000000000000e+02 1.393990573596722765e-06 -1.073724134038335771e-05 1.129364477706071032e-07
3.250000000000000000e+02 5.218196004174557162e-07 -1.039362710967022824e-05 -7.825328653421128189e-07
3.350000000000000000e+02 6.101558878567646823e-07 -4.175027736976388931e-06 -6.657467028059546452e-07
3.450000000000000000e+02 7.929002652544369129e-06 -4.916591909603851321e-06 -1.366659137947850067e-06
3.550000000000000000e+02 1.971983938760505883e-05 -1.231609645819359889e-05 -1.301431903089631910e-06
3.650000000000000000e+02 2.475259426425862068e-05 -1.669555025293180679e-05 9.791197345275527494e-08
3.750000000000000000e+02 2.415716740625317588e-05 -1.233951585855767115e-05 1.153345935629791349e-06
3.850000000000000000e+02 2.042941503642287308e-05 -2.709122482551141697e-05 1.372561215989791473e-06
3.950000000000000000e+02 1.652907602203172510e-05 -2.793496638338781310e-05 -2.352534741815932441e-07
4.050000000000000000e+02 2.434833007754865208e-05 -2.411146518785844620e-06 -2.610268492205384177e-06
4.150000000000000000e+02 2.451412366341378790e-05 -8.315512011298804314e-06 -2.579337234140722863e-06
4.250000000000000000e+02 3.228034201318976477e-05 2.536588847522482405e-06 -1.114696177089531063e-06
4.350000000000000000e+02 3.022438034234904014e-05 -8.655592179009490456e-06 -1.754891170258139083e-06
4.450000000000000000e+02 1.858460754317304783e-05 -1.799789450255804759e-06 -1.122436017238843745e-06
4.550000000000000000e+02 1.916084629876424524e-05 1.182504611204649094e-05 -6.908332197098266360e-08
4.650000000000000000e+02 1.314541123418262904e-05 1.479626540796145067e-05 -2.056635782150021933e-08
4.750000000000000000e+02 1.264664734523934554e-05 3.793699553862110302e-06 -2.156421947687870432e-07
4.900000000000000000e+02 1.314262753089417698e-05 1.413632840096743378e-05 1.687790279508881044e-06
5.100000000000000000e+02 8.435583059181169999e-06 2.285139804413407300e-05 1.859998141121091736e-06
5.300000000000000000e+02 3.235338483841844991e-06 2.298618321311058632e-05 2.264395546158318521e-06
