# z, uT, vT, wT

# time = 0.0-1.0 hrs
3.650000000000000000e+02 -8.541163295916769441e-03 -8.226438325569114182e-03 -4.595525880953548435e-03
3.750000000000000000e+02 -1.049831567380709631e-02 -9.284499912127991070e-03 -3.680722407571148259e-03
3.850000000000000000e+02 -1.243667800088483870e-02 -9.270104775436325759e-03 -2.427869355584286442e-03
3.950000000000000000e+02 -1.439249237187571057e-02 -8.182121149454300163e-03 -2.239771585237954662e-03
4.050000000000000000e+02 -1.722659259208534493e-02 -6.208125325463974449e-03 -3.051993199762236941e-03
4.150000000000000000e+02 -1.909956557886087480e-02 -3.183831740285380553e-03 -2.352894148266400365e-03
4.250000000000000000e+02 -2.001621098912415367e-02 1.305770005850572998e-03 -4.813882336503787413e-04
4.350000000000000000e+02 -2.175988811071179890e-02 7.003769114892701222e-03 9.076988599685888214e-04
4.450000000000000000e+02 -2.886728019922914917e-02 1.465708585758432846e-02 6.588790590124199691e-04
4.550000000000000000e+02 -4.478950676338896292e-02 2.546414306960000096e-02 -5.968189581784373544e-04
4.650000000000000000e+02 -5.550622858015748229e-02 3.189080017891014751e-02 -3.192733353450175060e-04
4.750000000000000000e+02 -5.495587373573536383e-02 3.188140297274717067e-02 4.865676572307159006e-04
4.850000000000000000e+02 -4.836814760204183328e-02 2.906406848290328526e-02 8.961515546099797737e-04
4.950000000000000000e+02 -4.071568850765404368e-02 2.871815456950861309e-02 7.897376560628106227e-04
5.050000000000000000e+02 -3.771155306097404014e-02 3.445138440387993800e-02 3.778116460479745897e-04
5.150000000000000000e+02 -3.669287507321648129e-02 3.724924232973747529e-02 4.498939096597037745e-04
5.250000000000000000e+02 -3.395992718667931870e-02 3.476778174767269913e-02 5.386305565549613086e-04
5.350000000000000000e+02 -3.070063785857674032e-02 3.107174200046022156e-02 4.635536006933381275e-04
5.450000000000000000e+02 -2.869405351816330801e-02 2.920691965645335134e-02 4.096386758413298780e-04
5.550000000000000000e+02 -2.752147784828369581e-02 2.965017632664503425e-02 3.799371034042922407e-04
5.650000000000000000e+02 -2.633931151144474139e-02 2.935352460376858610e-02 3.415953483927101735e-04
5.750000000000000000e+02 -2.498255016657959654e-02 2.762409863299725155e-02 2.976713404586592065e-04
5.850000000000000000e+02 -2.355477163802069396e-02 2.569747957114050518e-02 2.521235790037996429e-04
5.950000000000000000e+02 -2.078253587329591257e-02 2.356317459548761678e-02 1.849852184206239591e-04
6.050000000000000000e+02 -1.705267230717448165e-02 2.175086966959487514e-02 1.585719963962200726e-04
6.150000000000000000e+02 -1.468011868089640591e-02 2.076924578336784843e-02 1.594786404802551831e-04
6.250000000000000000e+02 -1.366157142186041201e-02 1.980360641925272419e-02 1.464137880365326170e-04
6.350000000000000000e+02 -1.324146225074396277e-02 1.911856514571511068e-02 1.434559287289590953e-04
6.450000000000000000e+02 -1.309132297543624292e-02 1.878464892018235494e-02 1.253287149760856504e-04
6.550000000000000000e+02 -1.277059877691710463e-02 1.797462549453775552e-02 1.111743809370629164e-04
6.650000000000000000e+02 -1.304774171341782640e-02 1.745710881260301509e-02 1.083621565987860391e-04
6.750000000000000000e+02 -1.341980907740041723e-02 1.713440849725044943e-02 7.688690349685091136e-05
6.850000000000000000e+02 -1.314675326255427580e-02 1.670509226784561152e-02 5.011829818285873177e-05
6.950000000000000000e+02 -1.218657000560695661e-02 1.615228979906302431e-02 4.345888591309425694e-05
7.050000000000000000e+02 -1.079238084101337425e-02 1.520231390590965313e-02 1.016437161363652989e-05
7.150000000000000000e+02 -1.010095443106458213e-02 1.460513565258988664e-02 2.128756668526128877e-05
7.250000000000000000e+02 -1.014309213463915164e-02 1.434606223573011395e-02 2.490824821265718046e-05
7.350000000000000000e+02 -1.032114867933635154e-02 1.402813520035713600e-02 7.493850721156437470e-06
7.450000000000000000e+02 -9.956570784301718713e-03 1.358029802621360353e-02 2.845829564418976058e-05
7.550000000000000000e+02 -8.983570012492501575e-03 1.294238715342906423e-02 3.410751586590931976e-05
